NAME,S1901_C01_012E,state,county
"Grand Forks County, North Dakota",61972,38,035
"Ward County, North Dakota",73787,38,101
"Allen County, Ohio",59880,39,003
"Ashtabula County, Ohio",51737,39,007
"Belmont County, Ohio",56422,39,013
"Butler County, Ohio",74581,39,017
"Clark County, Ohio",56132,39,023
"Clermont County, Ohio",78010,39,025
"Columbiana County, Ohio",53095,39,029
"Cuyahoga County, Ohio",60736,39,035
"Delaware County, Ohio",119030,39,041
"Erie County, Ohio",69296,39,043
"Fairfield County, Ohio",82486,39,045
"Franklin County, Ohio",69681,39,049
"Geauga County, Ohio",102350,39,055
"Greene County, Ohio",82602,39,057
"Hamilton County, Ohio",66878,39,061
"Hancock County, Ohio",71377,39,063
"Lake County, Ohio",75615,39,085
"Licking County, Ohio",76654,39,089
"Lorain County, Ohio",66330,39,093
"Lucas County, Ohio",57736,39,095
"Mahoning County, Ohio",54473,39,099
"Marion County, Ohio",56707,39,101
"Medina County, Ohio",87796,39,103
"Miami County, Ohio",71457,39,109
"Montgomery County, Ohio",62728,39,113
"Muskingum County, Ohio",58326,39,119
"Portage County, Ohio",72964,39,133
"Richland County, Ohio",53047,39,139
"Ross County, Ohio",60157,39,141
"Scioto County, Ohio",46606,39,145
"Stark County, Ohio",64582,39,151
"Summit County, Ohio",65763,39,153
"Trumbull County, Ohio",53220,39,155
"Tuscarawas County, Ohio",58588,39,157
"Union County, Ohio",104195,39,159
"Warren County, Ohio",104066,39,165
"Wayne County, Ohio",69876,39,169
"Wood County, Ohio",65458,39,173
"Canadian County, Oklahoma",80904,40,017
"Cleveland County, Oklahoma",70422,40,027
"Comanche County, Oklahoma",55285,40,031
"Creek County, Oklahoma",56756,40,037
"Muskogee County, Oklahoma",54070,40,101
"Oklahoma County, Oklahoma",61446,40,109
"Payne County, Oklahoma",45684,40,119
"Pottawatomie County, Oklahoma",50583,40,125
"Rogers County, Oklahoma",71817,40,131
"Tulsa County, Oklahoma",63332,40,143
"Wagoner County, Oklahoma",73199,40,145
"Benton County, Oregon",68524,41,003
"Clackamas County, Oregon",97419,41,005
"Deschutes County, Oregon",82052,41,017
"Douglas County, Oregon",54387,41,019
"Jackson County, Oregon",69152,41,029
"Josephine County, Oregon",53838,41,033
"Klamath County, Oregon",53923,41,035
"Lane County, Oregon",64069,41,039
"Linn County, Oregon",67009,41,043
"Marion County, Oregon",71022,41,047
"Multnomah County, Oregon",79909,41,051
"Polk County, Oregon",77368,41,053
"Umatilla County, Oregon",77006,41,059
"Washington County, Oregon",98906,41,067
"Yamhill County, Oregon",77267,41,071
"Adams County, Pennsylvania",76727,42,001
"Allegheny County, Pennsylvania",72031,42,003
"Armstrong County, Pennsylvania",57500,42,005
"Beaver County, Pennsylvania",67350,42,007
"Berks County, Pennsylvania",72070,42,011
"Blair County, Pennsylvania",58022,42,013
"Bucks County, Pennsylvania",105398,42,017
"Butler County, Pennsylvania",81353,42,019
"Cambria County, Pennsylvania",54905,42,021
"Carbon County, Pennsylvania",64456,42,025
"Centre County, Pennsylvania",66602,42,027
"Chester County, Pennsylvania",117232,42,029
"Clearfield County, Pennsylvania",60228,42,033
"Crawford County, Pennsylvania",54497,42,039
"Cumberland County, Pennsylvania",80926,42,041
"Dauphin County, Pennsylvania",67424,42,043
"Delaware County, Pennsylvania",83960,42,045
"Erie County, Pennsylvania",56094,42,049
"Fayette County, Pennsylvania",51776,42,051
"Franklin County, Pennsylvania",74002,42,055
"Indiana County, Pennsylvania",52361,42,063
"Lackawanna County, Pennsylvania",61372,42,069
"Lancaster County, Pennsylvania",82691,42,071
"Lawrence County, Pennsylvania",58908,42,073
"Lebanon County, Pennsylvania",68467,42,075
"Lehigh County, Pennsylvania",72530,42,077
"Luzerne County, Pennsylvania",59603,42,079
"Lycoming County, Pennsylvania",62516,42,081
"Mercer County, Pennsylvania",57618,42,085
"Monroe County, Pennsylvania",81580,42,089
"Montgomery County, Pennsylvania",106811,42,091
"Northampton County, Pennsylvania",74696,42,095
"Northumberland County, Pennsylvania",58987,42,097
"Philadelphia County, Pennsylvania",56517,42,101
"Schuylkill County, Pennsylvania",64160,42,107
"Somerset County, Pennsylvania",48438,42,111
"Washington County, Pennsylvania",70303,42,125
"Westmoreland County, Pennsylvania",71363,42,129
"York County, Pennsylvania",80130,42,133
"Kent County, Rhode Island",85395,44,003
"Newport County, Rhode Island",93334,44,005
"Providence County, Rhode Island",75293,44,007
"Washington County, Rhode Island",100459,44,009
"Aiken County, South Carolina",68473,45,003
"Anderson County, South Carolina",62720,45,007
"Beaufort County, South Carolina",83323,45,013
"Berkeley County, South Carolina",80185,45,015
"Charleston County, South Carolina",80401,45,019
"Dorchester County, South Carolina",73791,45,035
"Florence County, South Carolina",49527,45,041
"Greenville County, South Carolina",71728,45,045
"Greenwood County, South Carolina",47052,45,047
"Horry County, South Carolina",61063,45,051
"Kershaw County, South Carolina",58684,45,055
"Lancaster County, South Carolina",68108,45,057
"Laurens County, South Carolina",54334,45,059
"Lexington County, South Carolina",72801,45,063
"Oconee County, South Carolina",55195,45,073
"Orangeburg County, South Carolina",40016,45,075
"Pickens County, South Carolina",53022,45,077
"Richland County, South Carolina",60442,45,079
"Spartanburg County, South Carolina",57755,45,083
"Sumter County, South Carolina",57775,45,085
"York County, South Carolina",83613,45,091
"Lincoln County, South Dakota",90600,46,083
"Minnehaha County, South Dakota",74253,46,099
"Pennington County, South Dakota",65801,46,103
"Anderson County, Tennessee",67746,47,001
"Blount County, Tennessee",69756,47,009
"Bradley County, Tennessee",63659,47,011
"Davidson County, Tennessee",72473,47,037
"Greene County, Tennessee",48918,47,059
"Hamblen County, Tennessee",59418,47,063
"Hamilton County, Tennessee",76219,47,065
"Knox County, Tennessee",69999,47,093
"Madison County, Tennessee",55666,47,113
"Maury County, Tennessee",68157,47,119
"Montgomery County, Tennessee",67264,47,125
"Putnam County, Tennessee",54373,47,141
"Robertson County, Tennessee",79171,47,147
"Rutherford County, Tennessee",76857,47,149
"Sevier County, Tennessee",59315,47,155
"Shelby County, Tennessee",61516,47,157
"Sullivan County, Tennessee",53585,47,163
"Sumner County, Tennessee",88764,47,165
"Washington County, Tennessee",64899,47,179
"Williamson County, Tennessee",129275,47,187
"Wilson County, Tennessee",87003,47,189
"Angelina County, Texas",58180,48,005
"Bastrop County, Texas",72663,48,021
"Bell County, Texas",62137,48,027
"Bexar County, Texas",65854,48,029
"Bowie County, Texas",49771,48,037
"Brazoria County, Texas",86083,48,039
"Brazos County, Texas",60393,48,041
"Cameron County, Texas",50649,48,061
"Collin County, Texas",113305,48,085
"Comal County, Texas",91171,48,091
"Coryell County, Texas",65846,48,099
"Dallas County, Texas",70852,48,113
"Denton County, Texas",102428,48,121
"Ector County, Texas",68071,48,135
"Ellis County, Texas",89856,48,139
"El Paso County, Texas",53424,48,141
"Fort Bend County, Texas",105205,48,157
"Galveston County, Texas",75565,48,167
"Grayson County, Texas",66106,48,181
"Gregg County, Texas",61496,48,183
"Guadalupe County, Texas",87030,48,187
"Harris County, Texas",68706,48,201
